Word,Polarity
لطيف, Positive
ميصحش كده, Negative
تشويش, Negative
سيقمع, Negative
فخفخ, Negative
حميد, Positive
تشويه, Negative
عزيمة وإصرار, Positive
مكسوف, Negative
عويل, Negative
اجهل واحد, Negative
علي الحلوه والمره, Positive
رفسه, Negative
الطم, Negative
تفجير, Negative
متشكرين, Positive
انحدرت, Negative
خطير, Negative
تشوهو, Negative
فقك, Negative
يتراجع, Negative
لابس, Negative
قرفو, Negative
فلس, Negative
حشمه, Positive
جاتكم القرف, Negative
فلح, Positive
تستنزف, Negative
حصار, Negative
يبطل, Negative
فكك, Negative
مفيش فايده, Negative
طرقع, Negative
عطوف, Positive
تكسرو, Negative
دعاره, Negative
حبسجي, Negative
بنتريق, Negative
مغيب, Negative
فقعتو, Negative
قرفت, Negative
مشاكس, Negative
ركيكه, Negative
خليها تتربى, Negative
ذكي, Positive
الله يحرقك, Negative
سفاحا, Negative
بهتان, Negative
امري لله, Negative
مشاكل, Negative
فله, Positive
يبضن, Negative
حنان, Positive
غطرسه, Negative
الله يلعن, Negative
نقتلو, Negative
ربنا يبارك, Positive
قاص, Negative
ربنا كريم, Positive
قاع, Negative
شيعي, Negative
يلعنك, Negative
خائف, Negative
قاس, Negative
الله عليكم, Positive
تشاؤم, Negative
نقتلك, Negative
نتنكر, Negative
خائن, Negative
مختل عقليا, Negative
فهم, Positive
قبض, Negative
ذنب, Negative
كتاكيت, Negative
بيضحك علي, Negative
يعصي, Negative
قبر, Negative
ما فيش احلي من, Positive
نحتج, Negative
خائب, Negative
فني, Positive
قبح, Negative
نتنفخ, Negative
نجوع, Negative
حمقي, Negative
الي متي, Negative
بذائه, Negative
اعاتب, Negative
ربح, Positive
يا نجم, Positive
شيطن, Negative
نحبك, Positive
بيستهبل, Negative
تقدير, Positive
يعصب, Negative
خلق عالي, Positive
تعتقلو, Negative
يؤسفني, Negative
هيجان, Negative
اعاتبك, Negative
قتل, Negative
نهاركم اسود, Negative
باحبك, Positive
يمسخرك, Negative
ذهل, Positive
نشكرك, Positive
خاشع, Positive
بتهزر, Positive
متتعر, Negative
كتر خيرك, Positive
يد واحده, Positive
نحطم, Negative
عارك, Negative
جاتك نيله, Negative
بتضرب, Negative
تجبر, Negative
خاسر, Negative
ذوق, Positive
فاعليه, Positive
مظلمه, Negative
عليه العوض, Negative
يبارك, Positive
علي الحركرك, Negative
قحب, Negative
يعقل, Positive
اغتال, Negative
الله يزيد, Positive
خارق, Positive
متسخ, Negative
خخخخخ, Negative
غلابه, Negative
فخور, Positive
لاذع, Negative
يعفو, Positive
لواطي, Negative
متزن, Positive
عادل, Positive
التسامح, Positive
ما شاء الله, Positive
خارب, Negative
صباح الهنا, Positive
طريف, Positive
 قطيع, Negative
طلعان عين, Negative
خادع, Negative
غطيني وصوتي, Negative
عبد السيسي, Negative
فداء, Positive
ابهرت, Positive
ما حدش هيسال فيا, Negative
مظلوم, Negative
بتضحك, Positive
رجم, Negative
رحب, Positive
دمك خفيف, Positive
نحشر, Negative
نربيك, Negative
مياعه, Negative
قرود, Negative
مبكرهش في حياتي, Negative
تستنجد, Negative
مترب, Negative
يتحسر, Negative
نحسد, Negative
رحم, Positive
تأنيب, Negative
نحسس, Negative
تدبحو, Negative
جريء, Positive
عينى علينا, Negative
ردع, Negative
نحزن, Negative
يتمرقع, Negative
نهييص, Negative
يتحشر, Negative
رخم, Negative
ردئ, Negative
اتبهدل, Negative
ردح, Negative
نربوك, Negative
نغللط, Negative
هاتشلل, Negative
ولعه, Negative
قذر, Negative
ابن الحيوان, Negative
ولا نيله, Negative
راحه البال, Positive
عاجب, Positive
نحرم, Negative
قرف, Negative
نحرق, Negative
لئيم, Negative
ناجحه, Positive
ما حدش هيسال فيك, Negative
كمين, Negative
ندمان, Negative
مشاجره, Negative
حشيش, Negative
قرد, Negative
احراقها, Negative
اكاذيب, Negative
بتضيع, Negative
شرموط, Negative
تحسس, Negative
تسعدنا, Positive
ميه ميه, Positive
ماعندناش, Negative
بتلقح كلام, Negative
تحسن, Positive
بتناضل, Positive
بتحترمك, Positive
يتخض, Negative
مماطله, Negative
ارهابي, Negative
رزع, Negative
انجز, Negative
انجس, Negative
ههنيئا لك, Positive
انجح, Positive
تسعدني, Positive
بيصيعو, Negative
يهنيكي, Positive
ربنا يحميك, Positive
اتورطنا, Negative
تحزن, Negative
يحرمنا, Negative
بتوجع, Negative
عدم الأمانه, Negative
تمتع , Positive
تشرح القلب, Positive
تحسد, Negative
تحرش, Negative
كلام فارغ, Negative
تحرق, Negative
تحرم, Negative
بيئه جدا, Negative
حماقتك, Negative
يستفزوكم, Negative
رزل, Negative
امين, Positive
لا يبالي, Negative
تحذر, Negative
اتبهدلتم, Negative
مهربه, Negative
صهاينه, Negative
تغيير, Positive
راجل اخطبوط, Negative
انتش, Negative
جلطه, Negative
رشد, Positive
ما فيش فايده, Negative
ربنا يهده, Negative
أبغض, Negative
اموت, Negative
ازمات, Negative
يحاصر, Negative
سطوه, Negative
يعافيك, Positive
يا روح اومك, Negative
ننافق, Negative
راضي عنك, Positive
بيتعصب, Negative
محبوسه, Negative
يغيظ, Negative
مطرودا, Negative
انبش, Negative
سخريه, Negative
تغيظني, Negative
معاند, Negative
يغيب, Negative
رضا, Positive
ربنا يهدي, Negative
بتهيج, Negative
ايد واحده, Positive
سذاجه, Negative
قلشت, Negative
توريط, Negative
اتحنطر, Negative
سيلعن, Negative
نهارك مش فايت, Negative
احترافي, Positive
جااامد, Positive
منحوس, Negative
نستمتع, Positive
كلام فاضي, Negative
محنكه, Positive
يعاقبه, Negative
بائس, Negative
خبطت, Negative
يعاقبك, Negative
بائد, Negative
يغور, Negative
بالسلامه, Positive
الله يقلع, Negative
تدعمك, Positive
مخالف, Negative
يستفزونك, Negative
ما أنزل الله بها من سلطان, Negative
مقززه, Negative
لعنه, Negative
بر, Positive
الاقنعه, Negative
يستظرف , Negative
تصلب الشرايين, Negative
يلتزم, Positive
مش طايق, Negative
انتعاش, Positive
رعب, Negative
زلازل, Negative
بق, Negative
طمأن, Positive
نضييع, Negative
مجبر, Negative
احترامك, Positive
مشاعر نبيله, Positive
متلاقيش, Negative
اختناق, Negative
نخيف, Negative
تحسن ملموس, Positive
خرطوش, Negative
مجزره, Negative
يحاسب, Negative
انصر, Positive
يتشل, Negative
اعتصام, Negative
ابتسامه, Positive
نخوف, Negative
نخون, Negative
يا هلا, Positive
نخوه, Positive
تف, Negative
اعشقكم, Positive
حلاوتك, Positive
عنجهيه, Negative
هنيئالكم, Positive
ربنا يهديك, Negative
سازج, Negative
مستبيع, Negative
منيل بنيله, Negative
سارق, Negative
اطرشيت, Negative
انسب, Positive
تعبك راحه, Positive
يهنييك, Positive
هنكدب, Negative
مشبوه, Negative
دجال, Negative
مثلي, Negative
بارع, Positive
يهنيني, Positive
ماعندكيش دم, Negative
يتخلي, Negative
تحطم, Negative
ندام, Negative
بارك, Positive
بينتحل, Negative
زومبيز, Negative
حب, Positive
يتخمد, Negative
سيسقط, Negative
مرفوض, Negative
فاتنه, Positive
حر, Positive
حش, Negative
مباركه, Positive
يخترع, Positive
زندق, Negative
يخترق, Negative
ليه يعني, Negative
تصتدم, Negative
هرول, Negative
مثقف, Positive
حق, Positive
بارد, Negative
ساذج, Negative
جزل العطايا, Positive
يعترف, Negative
رقيق, Positive
عوضنا علي الله, Negative
يعترض, Negative
اندل, Negative
اندم, Negative
ميلزمنيش, Negative
نخلف, Negative
هروب, Negative
يختزل, Negative
 اغلي الناس, Positive
ابادتم, Negative
معندهمش احساس, Negative
تحشر, Negative
نخلص, Negative
ميتين اهلك, Negative
غبائك, Negative
اغتصب, Negative
ابن تيت, Negative
غبائه, Negative
يحارب, Negative
ساخر, Negative
تشاور, Positive
ابهرتني, Positive
حماقه, Negative
خرافي, Positive
قاعد علي قلبه, Negative
منكم لله, Negative
ذل, Negative
خرافه, Negative
معك حق, Positive
رفص, Negative
وحشتنا, Positive
رفض, Negative
قاعد علي قلبي, Negative
شكاوي, Negative
الله يخليك, Positive
لتقتيل, Negative
الله يخليه, Positive
مبقاش يفرق, Negative
قلش, Negative
لايك, Positive
تفكيرك صح, Positive
ركب, Negative
رقه, Positive
نخرس, Negative
حصيف, Positive
يا بختك, Positive
رقص, Negative
يا بخته, Positive
نخرص, Negative
مافيش اجمل من, Positive
مطرود, Negative
امانته, Positive
الناس لبعضيها, Positive
ماكنش العشم, Negative
امعه, Negative
ياحيلتها, Negative
رقصن, Positive
تبارك الرحمن, Positive
ليك واحشه, Positive
نخرب, Negative
جزمه, Negative
قمع, Negative
نخذل, Negative
خاين, Negative
خيخه, Negative
سفاهه, Negative
حنين, Positive
سئ, Negative
سب, Negative
قمر, Positive
خايف, Negative
قلق, Negative
يا بختكم, Positive
ركع, Negative
نخدع, Negative
تاكلك, Negative
جلاد, Negative
مخادع, Negative
قنص, Negative
رما, Negative
صدامي, Negative
ينفضح, Negative
خايب, Negative
خيخا, Negative
سم, Negative
متستحقش, Negative
العب غيرها, Negative
حسبنا الله ونعم الوكيل, Negative
شت, Negative
عظيم, Positive
رقصك, Positive
اشطه, Positive
بالإيجاب, Positive
مفيش الذ من, Positive
شخ, Negative
كنود, Negative
جائزه, Positive
شر, Negative
عاهه, Negative
من سيء الي اسوء, Negative
رمم, Negative
ارحموني, Negative
الاهم, Positive
جامدين, Positive
شق, Negative
شك, Negative
شل, Negative
حنون, Positive
قهر, Negative
خطأ فادح, Negative
صح, Positive
كبت, Negative
متيس, Negative
زبر, Negative
متنفذش, Negative
اجلال, Positive
ارحمونا, Negative
عنسوا, Negative
اغبياء, Negative
اله ادبك, Negative
مشعوذ, Negative
حظا أوفر, Positive
الساكت عن الحق شيطان اخرس, Negative
قلب علينا المواجع, Negative
ضب, Negative
نخجل, Negative
عاهر, Negative
زال, Negative
ضد, Negative
قوا, Positive
غتيت, Negative
مفيش مخ, Negative
كتف, Negative
نعريك, Negative
لعان, Negative
روش, Positive
كتم, Negative
لامع, Positive
خانع, Negative
روث, Negative
زبي, Negative
مغتصب, Negative
متهم, Negative
نحيك, Positive
رفع معنوياته, Positive
بوظو, Negative
نحيه, Positive
قوه, Positive
طز, Negative
خانو, Negative
قوي, Positive
طظ, Negative
مسـتبد, Negative
قيم, Positive
عظمه, Positive
تربية شوارع, Negative
مفيش احلي من, Positive
حيضيع, Negative
رجوله, Positive
عامر, Positive
نحيا, Positive
طب و بالنسبة , Negative
عالي, Positive
روع, Negative
اتخانق, Negative
يطمنك, Positive
بانبسط, Positive
كفتجي, Negative
كلمه من ذهب, Positive
امكو, Negative
بتتهدم, Negative
مقرفه, Negative
تكفيري, Negative
سلامات, Positive
يا روح امك, Negative
تعورو, Negative
اشكر, Positive
تحتج, Negative
مخطيء, Negative
عيطت, Negative
قباحه, Negative
عك, Negative
يتحبسوا, Negative
تستاهلوا كل خير, Positive
احلي واحد, Positive
غلبان, Negative
محموق, Negative
مبنحبهوش, Negative
غش, Negative
كخه, Negative
كدب, Negative
غل, Negative
نرتاح, Positive
غم, Negative
الله يخرب بيتك, Negative
وش الخير, Positive
قصر ديل, Negative
تستسلم, Negative
تجوع, Negative
يغلط, Negative
صحبه, Positive
كذب, Negative
عبره, Negative
تحبس, Negative
تكسير, Negative
بتتضرب, Negative
تجهض, Negative
بحبك موت, Positive
تحبط, Negative
تحبك, Positive
دي فنانه, Positive
كدس, Negative
نستسلم, Negative
نخطء, Negative
كرب, Negative
سلامتك, Positive
نخطئ, Negative
عداك العيب, Positive
حيوان, Negative
حمد الله ع السلامه, Positive
منحرف, Negative
ابوسك, Positive
كره, Negative
خراشي, Positive
يسعدك, Positive
كرم, Positive
الرضا عن النفس, Positive
تستمتع, Positive
خيسه, Negative
زرط, Negative
كسب, Positive
واللي بيتشددولهم, Negative
قطرائيلي, Negative
نخشي, Negative
انحراف , Negative
مجروح, Negative
اعمل ايه طيب, Negative
مبنحبهمش, Negative
حماسه, Positive
حماسي, Positive
عين العقل, Positive
كما تدين تدان, Negative
كسف, Negative
كسك, Negative
كسم, Negative
كسه, Negative
نخزي, Negative
نخسر, Negative
كسر, Negative
سهتان, Negative
نرتجف, Negative
عقبال, Positive
يتخطف, Negative
يهزيء, Negative
ابن سلول, Negative
ركيك, Negative
نفاق, Negative
نتسول, Negative
فخ, Negative
فظ, Negative
لعنه الله, Negative
كشر, Negative
اتخرستم, Negative
سوبر لايك, Positive
اؤيد, Positive
بيقبضوك, Negative
فل, Positive
نتشتم, Negative
سعدت, Positive
افكاره غريبة, Negative
رنوه علقه, Negative
الحلم يتحقق, Positive
تخشي, Negative
يحرقلي دمي, Negative
براعه, Positive
تخسر, Negative
اصيل, Positive
كس, Negative
بدون محتوي, Negative
يا ناصح, Negative
منظره فاضيه, Negative
قمعك, Negative
خوارج, Negative
تستاهلوا, Negative
اصيب, Negative
هلاك, Negative
مسليه, Positive
لص, Negative
صليبيين, Negative
تخزي, Negative
لا مبالاه, Negative
زعابيب, Negative
تاعب نفسه علي الفاضي, Negative
بنت جزمه, Negative
تنيكك, Negative
يغتصب, Negative
تخرس, Negative
مت, Negative
انانيتك, Negative
بايخ, Negative
تتظاهرون, Negative
بايظ, Negative
تخرص, Negative
مز, Positive
انيق, Positive
سايس, Negative
لا يمثلني, Negative
هتوحشونا, Positive
انهبلت, Negative
انيل, Negative
هااتشل, Negative
يخربيتك, Negative
يكرهني, Negative
لبست في الحيطه, Negative
بنت ناس, Positive
تخذل, Negative
تخرب, Negative
منفاخ محمي, Negative
ماكنش مبسوط, Negative
تخدر, Negative
زعق, Negative
زعل, Negative
باهي, Positive
منتفع, Negative
تخدع, Negative
زعر, Negative
بيحب, Positive
اكتئاب, Negative
تخدك, Negative
زعج, Negative
خليني ساكت, Negative
تسريب, Negative
خسرناك, Positive
جاتك القرف, Negative
منتقم, Negative
ود, Positive
يتوب, Positive
باهظ, Negative
تصادم, Negative
خائنو, Negative
زغط, Negative
اهبل, Negative
فشخره, Positive
منافقو, Negative
متعوس, Negative
عدم انتظام, Negative
حائر, Negative
بيغظ, Negative
اهطل, Negative
يضحكوا علينا, Negative
محتل, Negative
جنات, Positive
مجيد, Positive
تتقاعدوا, Negative
عاويل, Negative
تحفظك, Positive
ننصره, Positive
مجون, Negative
متغاظ, Negative
تنكران, Negative
مجوس, Negative
انتصر, Positive
عار عليكم, Negative
جلطني, Negative
إصرار وعزيمه, Positive
ابشركم, Positive
سبشل, Positive
احلي حاجه, Positive
بتترعبو, Negative
محبه, Positive
هو ده الكلام, Positive
ازاي بقي, Negative
محبط, Negative
يخرب بيت حلاوتك, Positive
محال, Negative
يعارض, Negative
اخطاؤه, Negative
ماقصرت, Positive
بتهاجم, Negative
بيموتو, Negative
تسرقو, Negative
كفر, Negative
مستحملينك, Negative
الذوق الرفيع, Positive
يعزلوا, Negative
دي  شمال, Negative
مشاعر جياشه, Positive
شويه ضمير, Negative
كفء, Positive
اضرب, Negative
زفت, Negative
سوء الحظ, Negative
نفتن, Negative
شباشب, Negative
ستسقط, Negative
كفن, Negative
نفتر, Negative
زي العسل, Positive
اخلاق كريمه, Positive
بعشق, Positive
يحميك, Positive
كفل, Positive
زفه, Positive
مبسوط, Positive
مشهور, Positive
الله يقويهم, Positive
بعزق, Negative
بعزك, Positive
نفتت, Negative
لا إحساس, Negative
فرعن, Negative
نذبح, Negative
نفهمك, Positive
حزومبل, Negative
يولعو, Negative
تعتدوا, Negative
بحترمك, Positive
النحس, Negative
تخطء, Negative
اتلموا, Negative
بحترمو, Positive
الله يحفظك, Positive
اكرهك, Negative
مداعر, Negative
الله يحفظه, Positive
تخطئ, Negative
اعجابي, Positive
وحشتني, Positive
اتخميت, Negative
كلب, Negative
قسوه, Negative
زكي, Positive
اتخنقت, Negative
مجرم, Negative
ربايه, Negative
كمد, Negative
ضربت, Negative
انتصار, Positive
هو مفيش غير, Negative
يصلح الحال, Positive
محروق, Negative
تيجي علي حد, Negative
محروم, Negative
نتخزوق, Negative
بتتسرق, Negative
زله, Negative
جليل, Positive
مكروب, Negative
كمم, Negative
مابستحماش, Negative
مجدع, Positive
منتحر, Negative
ابن حلال, Positive
متعفف, Positive
زنا, Negative
يقرفك, Negative
زنب, Negative
تحفه, Positive
اؤيدك, Positive
احسان, Positive
وراه سر, Negative
مودي وحش, Negative
اعتراض, Negative
معشوق, Positive
كسر قلبي, Negative
تتالق, Positive
يخطيء, Negative
زني, Negative
اعتقال, Negative
تحفز, Positive
بؤساء, Negative
كوش, Negative
سفهاء, Negative
ربنا معاكم, Positive
بيتعاط, Negative
مرتاح الضمير, Positive
تحفظ, Positive
تاعب نفسه ع الفاضي, Negative
زور, Negative
هنخلع, Negative
نرجسيه, Negative
انتهي, Negative
باعو, Negative
سبه, Negative
مجحف, Negative
تبارك الخالق, Positive
سبو, Negative
طماع, Negative
يشرح البال, Positive
سبي, Negative
عبيط, Negative
لبوه, Negative
زهق, Negative
تتشملل, Negative
تكذيب, Negative
عبيد, Negative
اصعب, Negative
هتحشر, Negative
لعيب, Positive
طمئن, Positive
صغننه, Positive
لجا, Negative
الهناء, Positive
بريئه, Positive
انظف, Positive
اغباء, Negative
كيد, Negative
جمال, Positive
 خازوق, Negative
قليل الادب, Negative
الكلام ده يمثلني, Positive
بعيط من الفرحه, Positive
تتظلم, Negative
خبيث, Negative
خبيت, Negative
يخربيت جمالك, Positive
متعقد, Negative
حضنك, Positive
يا خساره, Negative
هو ده الشغل, Positive
لجم, Negative
نهاجم, Negative
ابن المنحوسة, Negative
زيط, Negative
باطل, Negative
يتعر, Negative
امانه, Positive
الاشكال دي, Negative
باظت, Negative
يغتاب, Negative
مكروه, Negative
تستبيحو, Negative
جاسوس, Negative
يخونو, Negative
يخونك, Negative
يزلزل, Negative
يتقتلو, Negative
تفتقد, Negative
هي ناقصه, Negative
حسبي الله, Negative
زيف, Negative
لحس, Negative
كرهناك, Negative
انت ملكيش عازه, Negative
تحذير, Negative
مقدام, Positive
بعبع, Negative
كفائه, Positive
يستفزك, Negative
يتهم, Negative
ساند, Positive
سجن, Negative
يعاتبكك, Negative
اصمت, Negative
يتهد, Negative
سباب, Negative
ضحك علينا, Negative
تحقتر, Negative
تحيه, Positive
فرحه, Positive
بتشحت, Negative
انتقم, Negative
بدون طعم, Negative
سخر, Negative
سحل, Negative
تفتح النفس, Positive
يازين, Positive
يتمم, Positive
يتنح, Negative
اسمع كلامك اصدقك, Negative
تخجل, Negative
مبنحبهاش, Negative
نتشملل, Negative
سالم, Positive
صحيه, Positive
فرحت, Positive
لذه, Positive
تحيا, Positive
تيجي علي كرامتك, Negative
نتسحل, Negative
برافو, Positive
صحيح, Positive
يتلم, Negative
سخن, Negative
للغيظ, Negative
لذع, Negative
تعبلي اعصابي, Negative
سخي, Positive
تحيك, Positive
الغباء له ناسه, Negative
سخف, Negative
ساقط, Negative
ندعم, Positive
كوسه, Negative
ندعي, Negative
اعجبتني, Positive
شتمو, Negative
متبعبص, Negative
ادعاء, Negative
سيئه, Negative
نسجنو, Negative
ساكت, Negative
سذج, Negative
ضاقت بنا, Negative
متسامح, Positive
عندك حق, Positive
مخمور, Negative
ربنا يخد, Negative
ربنا يديك العافيه, Positive
لزق, Negative
استغفلو, Negative
شتمت, Negative
هيسموك, Negative
يتقن, Positive
بتاع مصلحته, Negative
سافل, Negative
سافك, Negative
عبيد البياده, Negative
يخلينا, Positive
ارهابيين, Negative
عام سعيد, Positive
لسع, Negative
يتفق, Positive
يزكوا, Positive
حوست, Negative
متحورش, Negative
طابور خامس, Negative
تخبط, Negative
سرق, Negative
يا رب احفظهم, Positive
تحففه, Positive
يخليلك, Positive
أعز إنسان, Positive
نتلسع, Negative
تحمي, Positive
تدهور, Negative
كان عظيم, Positive
بتتسحل, Negative
بيقبض, Negative
تخاف, Negative
انتقد, Negative
اتق الله, Negative
بتشتم, Negative
ضربو, Negative
حذاري, Negative
مأنتخ, Negative
نربح, Positive
بتموت, Negative
خنزير, Negative
التقوي, Positive
همجي, Negative
قلب عليا المواجع, Negative
هتتقتع, Negative
نفور, Negative
هشتم, Negative
جتنا نيله, Negative
لطم, Negative
يجرو, Negative
نقبل, Positive
نفهم, Positive
اشمئزاز, Negative
مافيش احلي من, Positive
هنفشل, Negative
نقبض, Negative
لا يعرف المستحيل, Positive
لطش, Negative
بتتناك, Negative
جاب ضلفها, Negative
مزقوق, Negative
يجرح, Negative
مزقوك, Negative
أهو كده, Positive
تنعمني, Positive
نقاء, Positive
بيقلش, Negative
شايف نفسه, Negative
لعن, Negative
تنعشني, Positive
هسهس, Negative
وضيع, Negative
دموع الفرح, Positive
نقتحم, Negative
استنكر, Negative
موقوف, Negative
ابوجهل, Negative
يتحرق, Negative
محدش طايقك, Negative
تتخزوق, Negative
حضن كبير, Positive
اتخنقتم, Negative
مابيعرفوش, Negative
لغو, Negative
لغي, Negative
بهتانا, Negative
بغدر, Negative
نفلح, Positive
نفلس, Negative
لغط, Negative
كدا اوفر, Negative
مستظرف, Negative
اختلاف, Negative
ام العجايب, Negative
اتكسرت, Negative
شد انتباهي, Positive
وئام, Positive
حبرطع, Negative
اختلاس, Negative
رشاش, Negative
بتتمرقع, Negative
سازجتي, Negative
هتخلع, Negative
طهرتم, Positive
سازجته, Negative
مشكوك فيه, Negative
سعيد, Positive
متعاطف, Positive
مااحلاك, Positive
مااحلاه, Positive
تنكرها, Negative
مالهموش في الطيب نصيب, Negative
جهبز, Positive
سنحاسب, Negative
انتهكت, Negative
فجاجه, Negative
ما احلاك, Positive
تتعرض, Negative
اتغمس, Negative
الانحدار, Negative
نقرف, Negative
موفق بأذن الله, Positive
حيكسر الدنيا, Positive
اوعا, Negative
خزعبل, Negative
نتشلح, Negative
انا عاشق, Positive
جننو, Negative
نردح, Negative
يا رب توب علينا, Negative
جهال, Negative
ننهزم, Negative
راائع, Positive
مفجوع, Negative
رفعتولنا معنوياتنا, Positive
نرحل, Negative
نرحم, Positive
مختل, Negative
دعابه, Positive
ننضرب, Negative
ابن الزانيه, Negative
حامي, Positive
ظالم, Negative
عتوا, Negative
مصتبح, Negative
بنضرب, Negative
يتحبس, Negative
برياله, Negative
انحدار, Negative
جاتها نيله, Negative
ربنا يديك الصحة, Positive
نتناقض, Negative
تتعدم, Negative
تتعذب, Negative
نرحب, Positive
لامثالك, Negative
ربنا ينفخ في صورتك , Positive
لفق, Negative
سفه, Negative
حياد, Positive
نتأمص, Negative
ينخرس, Negative
مؤذ, Negative
احرمونا, Negative
سفك, Negative
سفل, Negative
بهايم, Negative
لقن, Negative
اشرف ناس, Positive
في قلبي, Positive
حاقد, Negative
قلبي اتحرق, Negative
سكت, Negative
معجبتنيش, Negative
بتستفزني, Negative
كافر, Negative
بغضا, Negative
ولاد ناس, Positive
لوطيا, Negative
سقط, Negative
ماعندكش شخصيه, Negative
محنك, Positive
غلطه عمري, Negative
تحرصك, Positive
اتغلب, Negative
احتيال, Negative
سلب, Negative
نقطنا بسكوتك, Negative
نتناك, Negative
تدعم, Positive
نفيس, Positive
تفتيت, Negative
افلام المقاولات, Negative
نقتل, Negative
ما احلاه, Positive
اطرد, Negative
خبتكو, Negative
علي راسه بطحه, Negative
مات, Negative
يجسس, Negative
نقتص, Negative
مسموم, Negative
اوسخ, Negative
اتدبحت, Negative
تحرسك, Positive
سلط, Negative
نتصاب, Negative
نربي, Negative
سنج, Negative
سند, Positive
شاذ, Negative
متعاون, Positive
سمم, Negative
مبض, Negative
اغبيه, Negative
مستغفلا, Negative
اعتزاز, Positive
خطوره, Negative
لهب, Negative
بدمار, Negative
تخلف, Negative
محزق, Negative
لوح, Negative
جنحه, Negative
تصعيد, Negative
قاذورات, Negative
منك لله, Negative
استرخصوك, Negative
الف هنا, Positive
هيعنسوا, Negative
لوث, Negative
نفضح, Negative
سهل, Positive
صباحك ورد, Positive
اقتحام, Negative
طلاسم, Negative
محرف, Negative
تفكيرك في محله, Positive
